VSO Amount,Days Until Unlock,Date of Unlock,Withdrawal Address,Internal or External
208333,,2/28/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
158333,,3/1/2022,0xaE778784228B799fa9560ea24fDcda6795205F27,External
791666,,3/1/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
33333,,3/1/2022,0x9e430dC2eDB9992E5d3917c661a4086FD77A1450,Unknown
170833,165.0,3/31/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,165.0,3/31/2022,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,165.0,3/31/2022,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,165.0,3/31/2022,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,165.0,3/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,165.0,3/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
916666,165.0,3/31/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
208333,165.0,3/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
158333,166.0,4/1/2022,0xaE778784228B799fa9560ea24fDcda6795205F27,External
791666,166.0,4/1/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
33333,166.0,4/1/2022,0x9e430dC2eDB9992E5d3917c661a4086FD77A1450,Unknown
170833,195.0,4/30/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,195.0,4/30/2022,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,195.0,4/30/2022,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,195.0,4/30/2022,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,195.0,4/30/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,195.0,4/30/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
916666,195.0,4/30/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
208333,195.0,4/30/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
158333,196.0,5/1/2022,0xaE778784228B799fa9560ea24fDcda6795205F27,External
791666,196.0,5/1/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
33333,196.0,5/1/2022,0x9e430dC2eDB9992E5d3917c661a4086FD77A1450,Unknown
170833,226.0,5/31/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,226.0,5/31/2022,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,226.0,5/31/2022,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,226.0,5/31/2022,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,226.0,5/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,226.0,5/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
916666,226.0,5/31/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
208333,226.0,5/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
158333,227.0,6/1/2022,0xaE778784228B799fa9560ea24fDcda6795205F27,External
3958338,227.0,6/1/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
33335,227.0,6/1/2022,0x9e430dC2eDB9992E5d3917c661a4086FD77A1450,Unknown
170833,256.0,6/30/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,256.0,6/30/2022,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,256.0,6/30/2022,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,256.0,6/30/2022,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,256.0,6/30/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
170833,287.0,7/31/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,287.0,7/31/2022,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,287.0,7/31/2022,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,287.0,7/31/2022,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,287.0,7/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
170833,318.0,8/31/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,318.0,8/31/2022,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,318.0,8/31/2022,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,318.0,8/31/2022,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,318.0,8/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
170833,348.0,9/30/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,348.0,9/30/2022,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,348.0,9/30/2022,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,348.0,9/30/2022,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,348.0,9/30/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
